"","X","Z","Y","block"
"228",228,TRUE,0,11
"229",229,FALSE,1,11
"230",230,TRUE,0,11
"231",231,FALSE,0,11
"232",232,FALSE,0,11
"233",233,TRUE,0,11
"234",234,TRUE,1,11
"235",235,FALSE,0,11
"236",236,FALSE,0,11
"237",237,FALSE,0,11
"238",238,TRUE,0,11
"239",239,TRUE,0,11
"240",240,TRUE,1,11
"241",241,FALSE,0,12
"242",242,FALSE,1,12
"243",243,TRUE,0,12
"244",244,TRUE,0,12
"245",245,FALSE,0,12
"246",246,FALSE,1,12
"247",247,TRUE,0,12
"248",248,FALSE,1,12
"249",249,FALSE,1,12
"250",250,TRUE,0,12
"251",251,FALSE,0,12
"252",252,FALSE,0,12
"253",253,FALSE,0,12
"254",254,FALSE,0,12
"255",255,FALSE,1,12
"256",256,TRUE,0,12
"257",257,TRUE,0,12
"258",258,FALSE,0,12
"259",259,FALSE,0,12
"260",260,FALSE,1,12
"261",261,FALSE,0,12
"262",262,FALSE,0,12
"263",263,FALSE,1,12
"264",264,FALSE,1,12
"265",265,TRUE,0,12
"266",266,TRUE,0,12
"267",267,FALSE,0,12
"268",268,FALSE,0,12
"269",269,FALSE,0,12
"270",270,TRUE,0,12
"271",271,TRUE,1,27
"272",272,FALSE,0,27
"273",273,FALSE,1,27
"274",274,TRUE,1,27
"275",275,TRUE,1,27
"276",276,FALSE,1,27
"277",277,TRUE,1,27
"278",278,FALSE,1,27
"279",279,FALSE,1,27
"280",280,FALSE,1,27
"281",281,TRUE,1,27
"282",282,TRUE,1,27
"283",283,TRUE,1,27
"284",284,TRUE,1,27
"285",285,TRUE,1,27
"286",286,TRUE,1,27
"287",287,TRUE,1,27
"288",288,FALSE,0,27
"289",289,FALSE,1,27
"290",290,FALSE,1,27
"291",291,FALSE,1,27
"292",292,TRUE,1,27
"293",293,FALSE,1,27
"294",294,TRUE,1,27
"295",295,TRUE,1,27
"296",296,FALSE,1,27
"297",297,TRUE,1,27
"298",298,TRUE,1,27
"299",299,TRUE,1,27
"300",300,TRUE,1,27
"301",301,FALSE,0,13
"302",302,FALSE,0,13
"303",303,FALSE,0,13
"304",304,TRUE,0,13
"305",305,TRUE,0,13
"306",306,TRUE,0,13
"307",307,FALSE,0,13
"308",308,FALSE,0,13
"309",309,TRUE,0,13
"310",310,FALSE,0,13
"311",311,TRUE,1,13
"312",312,TRUE,0,13
"313",313,TRUE,0,13
"314",314,FALSE,0,13
"315",315,FALSE,0,13
"316",316,FALSE,0,13
"317",317,FALSE,0,13
"318",318,FALSE,0,13
"319",319,TRUE,0,13
"320",320,TRUE,0,13
"321",321,FALSE,0,13
"322",322,TRUE,0,13
"323",323,TRUE,0,13
"324",324,TRUE,0,13
"325",325,FALSE,0,13
"326",326,TRUE,0,13
"327",327,TRUE,0,13
"328",328,FALSE,0,13
"329",329,FALSE,0,13
"330",330,TRUE,0,13
"331",331,FALSE,0,10
"332",332,FALSE,0,10
"333",333,TRUE,0,10
"334",334,TRUE,1,10
"335",335,TRUE,0,10
"336",336,TRUE,0,10
"337",337,FALSE,0,10
"338",338,TRUE,0,10
"339",339,FALSE,0,10
"340",340,FALSE,0,10
"341",341,FALSE,0,10
"342",342,FALSE,1,10
"343",343,TRUE,1,10
"344",344,FALSE,0,10
"345",345,TRUE,0,10
"346",346,TRUE,0,10
"347",347,TRUE,0,10
"348",348,FALSE,0,10
"349",349,TRUE,1,10
"350",350,TRUE,1,10
"351",351,TRUE,0,10
"352",352,TRUE,0,10
"353",353,FALSE,0,10
"354",354,FALSE,0,10
"355",355,FALSE,0,14
"356",356,TRUE,0,14
"357",357,TRUE,1,14
"358",358,TRUE,1,14
"359",359,TRUE,0,14
"360",360,FALSE,0,14
"361",361,TRUE,1,14
"362",362,FALSE,0,14
"363",363,TRUE,0,14
"364",364,TRUE,0,14
"365",365,TRUE,0,14
"366",366,TRUE,0,14
"367",367,TRUE,0,14
"368",368,TRUE,1,14
"369",369,FALSE,1,14
"370",370,TRUE,0,14
"371",371,TRUE,1,14
"372",372,FALSE,0,14
"373",373,TRUE,0,14
"374",374,TRUE,1,14
"375",375,TRUE,0,14
"376",376,FALSE,1,14
"377",377,TRUE,1,14
"378",378,FALSE,1,14
"379",379,FALSE,0,14
"380",380,FALSE,1,14
"381",381,TRUE,1,14
"382",382,FALSE,0,14
"383",383,FALSE,1,14
"384",384,TRUE,0,14
"385",385,TRUE,1,15
"386",386,FALSE,1,15
"387",387,TRUE,0,15
